reference,wikipedia,wikidata,website,twitter
1,Arnside_and_Silverdale,Q697504,https://www.arnsidesilverdaleaonb.org.uk/,Arnside_AONB
2,Blackdown_Hills,Q4922787,https://blackdownhillsaonb.org.uk/,blackdownsaonb
3,Cannock_Chase,Q2936429,https://www.cannock-chase.co.uk/,cannockaonb
4,Chichester_Harbour,Q5096001,https://www.conservancy.co.uk/,chichesterharbo
5,Chiltern_Hills,Q19849,https://www.chilternsaonb.org/,chilternsaonb
6,Cornwall_Area_of_Outstanding_Natural_Beauty,Q5171946,https://www.cornwall-aonb.gov.uk/,CornwallAONB
7,Cotswolds,Q301833,https://www.cotswoldsaonb.org.uk/,cotswoldsaonb
8,Cranborne_Chase,Q5181922,https://cranbornechase.org.uk/,CranborneChase
9,Dedham_Vale,Q4574726,https://www.dedhamvalestourvalley.org/,dedhamvalesvp
10,Dorset_AONB,Q113884600,https://www.dorsetaonb.org.uk/,dorsetaonb
11,East_Devon_AONB,Q5328224,https://www.eastdevonaonb.org.uk/,EastDevonAONB
13,Forest_of_Bowland,Q1406920,https://www.forestofbowland.com/,forestofbowland
14,High_Weald_AONB,Q5757413,https://www.highweald.org/,highweald
15,Howardian_Hills,Q1631946,http://www.howardianhills.org.uk/,howardian_hills
16,Isle_of_Wight_AONB,Q15228878,https://www.wightaonb.org.uk/,wight_aonb
17,Isles_of_Scilly,Q180209,https://www.scillyaonb.org.uk/,scillyaonb
18,Kent_Downs,Q911860,https://kentdowns.org.uk/,KentDownsAONB
19,Lincolnshire_Wolds,Q1474787,https://www.lincswolds.org.uk/,LincsWoldsAONB
20,Malvern_Hills,Q1577855,https://www.malvernhillsaonb.org.uk/,mhaonb
21,Mendip_Hills,Q1920360,https://www.mendiphillsaonb.org.uk/,MendipHillsAONB
22,Nidderdale_AONB,Q22004587,https://nidderdaleaonb.org.uk/,nidderdaleaonb
23,Norfolk_Coast_AONB,Q7051002,https://www.norfolkcoastaonb.org.uk/,norfolkaonb
24,North_Devon_Coast,Q7055113,https://northdevon-aonb.org.uk/,explorethecoast
25,North_Pennines,Q1332452,https://www.northpennines.org.uk/,NorthPennAONB
26,Northumberland_Coast,Q15262582,https://www.northumberlandcoastaonb.org/,northcoastaonb
27,North_Wessex_Downs,Q7057217,https://www.northwessexdowns.org.uk/,NorthWessexAONB
28,Quantock_Hills,Q1471502,https://www.quantockhills.com/,Quantockhills
29,Shropshire_Hills_AONB,Q7504254,https://www.shropshirehillsaonb.co.uk/,ShropHillsAONB
30,Solway_Coast,Q25171248,https://www.solwaycoastaonb.org.uk/,SolwayAONB
31,South_Devon_AONB,Q7567039,https://www.southdevonaonb.org.uk/,southdevonaonb
33,Suffolk_Coast_and_Heaths,Q7634537,https://www.suffolkcoastandheaths.org/,suffolkaonb
34,Surrey_Hills_AONB,Q1785050,https://www.surreyhills.org/,SurreyHillsAONB
36,Tamar_Valley_AONB,Q60738885,https://www.tamarvalley.org.uk/,tvaonb
37,Wye_Valley,Q1332478,https://www.wyevalleyaonb.org.uk/,wyebeauty
